Time t / s;Rate R_B1 / 1/s
5;96,2
10,2;78
15,401;63,4
20,6;51,8
25,801;46,4
31;36,2
36,2;32
41,401;27,6
46,6;22,6
51,799;20,4
57,001;19
62,2;16
67,4;14,8
72,601;15
77,801;16,8
83,001;13,4
88,2;13,4
93,4;13,8
98,6;11,6
103,801;9,2
109;14
114,2;12,4
119,4;14
124,6;13,6
129,799;12,6
134,999;12
140,199;12,4
145,4;11
150,599;12,6
155,8;11,4
161;12
166,2;13,4
171,4;15,6
176,6;11,6
181,799;12,2
187;10,8
192,2;13,8
197,4;12,8
202,6;13,6
207,8;13,4
213;11,2
218,2;13,2
223,4;13,8
228,6;12,2
233,8;14
239;10,2
244,101;12,4
249,3;9,2
254,5;12,8
259,6;12,4
264,799;13,2
269,9;12,6
275,101;12,8
280,301;12,8
285,5;8,4
290,7;13,4
295,9;13,2
301,1;16,8
306,3;9,2
311,499;12,8
316,699;11,2
321,901;8,6
327,101;12,4
332,3;11,6
337,5;10,4
342,7;14,4
347,9;13,2
353,099;8,8
358,3;11,2
363,501;9
368,7;11,6
373,9;10
379,1;12,4
384,3;10,6
389,499;10,8
394,7;11
399,901;11,6
