Time t / s;Rate R_B1 / 1/s
5,101;101
10,3;74,6
15,5;65
20,7;52,6
25,9;37,4
31,1;30,8
36,3;29,6
41,5;27,8
46,7;23,4
51,9;17,4
57,1;16
62,3;14,6
67,501;12,4
72,7;14
77,901;11,2
83,099;13
88,3;10,6
93,5;12,2
98,7;9,6
103,901;9,6
109,1;10,2
114,3;10,2
119,499;12,4
124,7;8,4
129,9;9,4
135,1;11
140,3;10,2
145,5;8,6
150,7;11
155,9;11,2
161,1;8
166,3;9,2
171,5;11,4
176,7;11,6
181,9;9,4
187,1;12,2
192,3;10,2
197,5;5,8
202,7;9,4
207,9;8,2
213,1;9,8
218,3;10,6
223,5;9,6
228,7;9,8
233,9;11,4
239,1;8,8
244,3;9
249,499;10,4
254,7;10,6
259,9;10
265,1;7,4
270,3;11,4
275,5;10,6
280,7;10,8
285,9;10
291,099;8,6
296,3;9,2
301,5;7,8
306,702;8
311,801;8,2
316,999;6,6
322,2;9
327,4;8,8
332,6;8,8
337,8;6,4
343;9
348,2;9,8
353,401;10,6
358,6;7,8
363,799;9,4
369;8,8
374,2;10,4
379,4;9,6
384,6;10,2
389,799;8,8
395;8,2
