Time t / s;Rate R_B1 / 1/s
5;22,8
10,199;20,2
15,399;17,8
20,6;12,4
25,8;13,2
31;11,8
36,2;8
41,4;7,6
46,6;7,8
51,8;8,4
57;4,8
62,201;4,8
67,4;5
72,601;5
77,801;5,4
83;5,2
88,2;4,2
93,401;5,4
98,6;3,4
103,8;2,8
109,001;6
114,199;3,8
119,401;5
124,6;3,6
129,799;4,2
135;5,8
140,101;2,8
145,3;4,4
150,501;4,4
155,7;5,2
160,9;3,8
166,1;4,2
171,3;2,4
176,499;5,4
181,701;5,6
186,899;4
192;4,4
197,201;4,2
202,4;4
207,599;4,8
212,8;5,4
218;4,2
223,201;4
228,4;3
233,6;5
238,8;4,8
244;4
249,2;3,2
